fid,gid,nam,provincia,name_es,in1,id,fdc,sag,value
"317","517",Fray Mamerto Esquiú,Catamarca,Fray Mamerto Esquiú,"10063","1348",IDE Catamarca,IGN,"14625"
"318","276",Malvinas Argentinas,Buenos Aires,Malvinas Argentinas,"06515","1349",ARBA - Gerencia de Servicios Catastrales,IGN,"350674"
"321","277",General San Martín,Buenos Aires,General San Martín,"06371","1352",ARBA - Gerencia de Servicios Catastrales,IGN,"450575"
"350","303",Hipólito Yrigoyen,Buenos Aires,Hipólito Yrigoyen,"06406","1381",ARBA - Gerencia de Servicios Catastrales,IGN,"10661"
"351","408",Tafí Viejo,Tucumán,Tafí Viejo,"90105","1382",IDE Tucuman,IGN,"172986"
"352","409",Burruyacú,Tucumán,Burruyacú,"90007","1383",IDE Tucuman,IGN,"45476"
"353","410",Trancas,Tucumán,Trancas,"90112","1384",IDE Tucuman,IGN,"23494"
"322","278",Lincoln,Buenos Aires,Lincoln,"06469","1353",ARBA - Gerencia de Servicios Catastrales,IGN,"45506"
"323","310",Ensenada,Buenos Aires,Ensenada,"06245","1354",ARBA - Gerencia de Servicios Catastrales,IGN,"63997"
"354","411",Tafí del Valle,Tucumán,Tafí del Valle,"90098","1385",IDE Tucuman,IGN,"22440"
"355","519",Capital,Catamarca,Capital,"10049","1386",IDE Catamarca,IGN,"186947"
"356","520",Ancasti,Catamarca,Ancasti,"10014","1387",IDE Catamarca,IGN,"3302"
"357","521",Pomán,Catamarca,Pomán,"10084","1388",IDE Catamarca,IGN,"12260"
"324","311",Laprida,Buenos Aires,Laprida,"06448","1355",ARBA - Gerencia de Servicios Catastrales,IGN,"11646"
"325","312",San Isidro,Buenos Aires,San Isidro,"06756","1356",ARBA - Gerencia de Servicios Catastrales,IGN,"297282"
"326","313",Benito Juárez,Buenos Aires,Benito Juárez,"06084","1357",ARBA - Gerencia de Servicios Catastrales,IGN,"22292"
"327","314",Colón,Buenos Aires,Colón,"06175","1358",ARBA - Gerencia de Servicios Catastrales,IGN,"27504"
"328","402",Leales,Tucumán,Leales,"90056","1359",IDE Tucuman,IGN,"66392"
"393","341",Castro Barros,La Rioja,Castro Barros,"46021","1424",IGN,IGN,"5810"
"329","279",Ituzaingó,Buenos Aires,Ituzaingó,"06410","1360",ARBA - Gerencia de Servicios Catastrales,IGN,"180232"
"330","280",General Rodríguez,Buenos Aires,General Rodríguez,"06364","1361",ARBA - Gerencia de Servicios Catastrales,IGN,"142709"
"331","281",Suipacha,Buenos Aires,Suipacha,"06784","1362",ARBA - Gerencia de Servicios Catastrales,IGN,"11786"
"332","282",Tres de Febrero,Buenos Aires,Tres de Febrero,"06840","1363",ARBA - Gerencia de Servicios Catastrales,IGN,"364176"
"333","291",Florencio Varela,Buenos Aires,Florencio Varela,"06274","1364",ARBA - Gerencia de Servicios Catastrales,IGN,"496433"
"334","292",Navarro,Buenos Aires,Navarro,"06574","1365",ARBA - Gerencia de Servicios Catastrales,IGN,"19899"
"335","293",Cañuelas,Buenos Aires,Cañuelas,"06134","1366",ARBA - Gerencia de Servicios Catastrales,IGN,"70684"
"349","301",Balcarce,Buenos Aires,Balcarce,"06063","1380",ARBA - Gerencia de Servicios Catastrales,IGN,"48982"
"394","412",General López,Santa Fe,General López,"82042","1425",Servicio de Catastro e Información Territorial,IGN,"201574"
"358","304",Dolores,Buenos Aires,Dolores,"06238","1389",ARBA - Gerencia de Servicios Catastrales,IGN,"32032"
"359","305",Azul,Buenos Aires,Azul,"06049","1390",ARBA - Gerencia de Servicios Catastrales,IGN,"75905"
"364","315",Figueroa,Santiago del Estero,Figueroa,"86070","1395",Catastro Provinciales,IGN,"20270"
"365","316",Saavedra,Buenos Aires,Saavedra,"06700","1396",ARBA - Gerencia de Servicios Catastrales,IGN,"22537"
"366","317",Monte Hermoso,Buenos Aires,Monte Hermoso,"06553","1397",ARBA - Gerencia de Servicios Catastrales,IGN,"8465"
"367","318",Lobería,Buenos Aires,Lobería,"06476","1398",ARBA - Gerencia de Servicios Catastrales,IGN,"18243"
"368","319",Berisso,Buenos Aires,Berisso,"06098","1399",ARBA - Gerencia de Servicios Catastrales,IGN,"100930"
"369","320",Tordillo,Buenos Aires,Tordillo,"06812","1400",ARBA - Gerencia de Servicios Catastrales,IGN,"2542"
"370","321",Zárate,Buenos Aires,Zárate,"06882","1401",ARBA - Gerencia de Servicios Catastrales,IGN,"132221"
"360","306",Daireaux,Buenos Aires,Daireaux,"06231","1391",ARBA - Gerencia de Servicios Catastrales,IGN,"18422"
"361","523",Capayán,Catamarca,Capayán,"10042","1392",IDE Catamarca,IGN,"19885"
"362","524",Andalgalá,Catamarca,Andalgalá,"10021","1393",IDE Catamarca,IGN,"19678"
"363","525",Ambato,Catamarca,Ambato,"10007","1394",IDE Catamarca,IGN,"5129"
"371","322",Ramallo,Buenos Aires,Ramallo,"06665","1402",ARBA - Gerencia de Servicios Catastrales,IGN,"39730"
"372","323",San Nicolás,Buenos Aires,San Nicolás,"06763","1403",ARBA - Gerencia de Servicios Catastrales,IGN,"167824"
"373","324",Salavina,Santiago del Estero,Salavina,"86168","1404",Catastro Provinciales,IGN,"12787"
"374","325",Pellegrini,Santiago del Estero,Pellegrini,"86133","1405",Catastro Provinciales,IGN,"26193"
"375","326",Avellaneda,Santiago del Estero,Avellaneda,"86028","1406",Catastro Provinciales,IGN,"25476"
"385","334",Maipú,Mendoza,Maipú,"50070","1416",IDE Mendoza,IGN,"219402"
"386","335",Guachipas,Salta,Guachipas,"66063","1417",IDE Salta,IGN,"3491"
"387","426",Conhelo,La Pampa,Conhelo,"42035","1418",Direc. Grl. de Catastro,IGN,"15186"
"388","448",Ituzaingó,Corrientes,Ituzaingó,"18084","1419",IGN,IGN,"38837"
"470","424",Quemú Quemú,La Pampa,Quemú Quemú,"42119","1501",Direc. Grl. de Catastro,IGN,"8460"
"471","429",Atreucó,La Pampa,Atreucó,"42007","1502",Direc. Grl. de Catastro,IGN,"11138"
"472","430",Guatraché,La Pampa,Guatraché,"42070","1503",Direc. Grl. de Catastro,IGN,"9517"
"473","431",Toay,La Pampa,Toay,"42140","1504",Direc. Grl. de Catastro,IGN,"18029"
"474","466",San Javier,Misiones,San Javier,"54105","1505",Ministerio de Ecologí­a,IGN,"23503"
"475","444",General Paz,Corrientes,General Paz,"18063","1506",IGN,IGN,"17020"
"476","480",General Belgrano,Chaco,General Belgrano,"22049","1507",IDE Chaco,IGN,"12807"
"477","432",Utracán,La Pampa,Utracán,"42154","1508",Direc. Grl. de Catastro,IGN,"17802"
"478","433",Sauce,Corrientes,Sauce,"18175","1509",IGN,IGN,"10382"
"389","339",San Martín,Mendoza,San Martín,"50098","1420",IDE Mendoza,IGN,"139792"
"390","427",Capital,La Pampa,Capital,"42021","1421",Direc. Grl. de Catastro,IGN,"119632"
"391","360",Río Primero,Córdoba,Río Primero,"14105","1422",IDE Cordoba,IGN,"58428"
"392","340",Junín,Mendoza,Junín,"50035","1423",IDE Mendoza,IGN,"46604"
"479","434",San Martín,Corrientes,San Martín,"18147","1510",IGN,IGN,"15187"
"480","435",Paso de los Libres,Corrientes,Paso de los Libres,"18119","1511",IGN,IGN,"56989"
"481","436",Goya,Corrientes,Goya,"18070","1512",IGN,IGN,"106371"
"395","342",Sanagasta,La Rioja,Sanagasta,"46126","1426",IGN,IGN,"3038"
"396","346",General Juan Facundo Quiroga,La Rioja,General Juan Facundo Quiroga,"46070","1427",IGN,IGN,"4017"
"397","413",Constitución,Santa Fe,Constitución,"82028","1428",Servicio de Catastro e Información Territorial,IGN,"93441"
"482","437",Lavalle,Corrientes,Lavalle,"18091","1513",IGN,IGN,"40448"
"483","438",San Roque,Corrientes,San Roque,"18161","1514",IGN,IGN,"22715"
"484","439",General Alvear,Corrientes,General Alvear,"18056","1515",IGN,IGN,"9145"
"485","440",Concepción,Corrientes,Concepción,"18028","1516",IGN,IGN,"26282"
"486","441",Bella Vista,Corrientes,Bella Vista,"18007","1517",IGN,IGN,"44406"
"487","442",Santo Tomé,Corrientes,Santo Tomé,"18168","1518",IGN,IGN,"71927"
"488","443",Saladas,Corrientes,Saladas,"18126","1519",IGN,IGN,"29198"
"398","343",Chilecito,La Rioja,Chilecito,"46042","1429",IGN,IGN,"58798"
"399","414",Caseros,Santa Fe,Caseros,"82014","1430",Servicio de Catastro e Información Territorial,IGN,"86912"
"400","415",Rosario,Santa Fe,Rosario,"82084","1431",Servicio de Catastro e Información Territorial,IGN,"1348725"
"401","416",San Lorenzo,Santa Fe,San Lorenzo,"82119","1432",Servicio de Catastro e Información Territorial,IGN,"194580"
"402","417",Iriondo,Santa Fe,Iriondo,"82056","1433",Servicio de Catastro e Información Territorial,IGN,"74504"
"403","418",Belgrano,Santa Fe,Belgrano,"82007","1434",Servicio de Catastro e Información Territorial,IGN,"48781"
"404","419",San Jerónimo,Santa Fe,San Jerónimo,"82105","1435",Servicio de Catastro e Información Territorial,IGN,"87307"
"405","446",San Miguel,Corrientes,San Miguel,"18154","1436",IGN,IGN,"12713"
"406","344",Ángel Vicente Peñaloza,La Rioja,Ángel Vicente Peñaloza,"46056","1437",IGN,IGN,"3185"
"407","345",Colón,Córdoba,Colón,"14021","1438",IDE Cordoba,IGN,"295725"
"408","347",Rosario Vera Peñaloza,La Rioja,Rosario Vera Peñaloza,"46112","1439",IGN,IGN,"15783"
"409","447",Empedrado,Corrientes,Empedrado,"18042","1440",IGN,IGN,"17968"
"410","348",General San Martín,La Rioja,General San Martín,"46091","1441",IGN,IGN,"5019"
"411","350",San Blas de Los Sauces,La Rioja,San Blas de Los Sauces,"46119","1442",IGN,IGN,"4314"
"412","351",San Antonio,Jujuy,San Antonio,"38056","1443",Direc. Grl. de Inmuebles,IGN,"6729"
"413","449",Capital,Corrientes,Capital,"18021","1444",IGN,IGN,"439270"
"414","450",San Luis del Palmar,Corrientes,San Luis del Palmar,"18140","1445",IGN,IGN,"21459"
"415","451",San Cosme,Corrientes,San Cosme,"18133","1446",IGN,IGN,"19706"
"416","452",Itatí,Corrientes,Itatí,"18077","1447",IGN,IGN,"12010"
"417","453",Berón de Astrada,Corrientes,Berón de Astrada,"18014","1448",IGN,IGN,"2826"
"418","352",Formosa,Formosa,Formosa,"34014","1449",IGN,IGN,"269589"
"419","353",Pilcomayo,Formosa,Pilcomayo,"34049","1450",IGN,IGN,"94383"
"420","354",Tehuelches,Chubut,Tehuelches,"26098","1451",IGN,IGN,"5978"
"421","355",Escalante,Chubut,Escalante,"26021","1452",IGN,IGN,"215453"
"422","356",Ischilín,Córdoba,Ischilín,"14049","1453",IDE Cordoba,IGN,"36074"
"423","357",Totoral,Córdoba,Totoral,"14168","1454",IDE Cordoba,IGN,"22495"
"424","358",General San Martín,Córdoba,General San Martín,"14042","1455",Catastro,IGN,"154269"
"425","359",San Javier,Córdoba,San Javier,"14133","1456",IDE Cordoba,IGN,"63377"
"426","362",Leandro N. Alem,Buenos Aires,Leandro N. Alem,"06462","1457",ARBA - Gerencia de Servicios Catastrales,IGN,"17266"
"427","363",Libertador General San Martín,Chaco,Libertador General San Martín,"22084","1458",IDE Chaco,IGN,"65686"
"428","364",Gastre,Chubut,Gastre,"26049","1459",IGN,IGN,"1195"
"429","365",General Arenales,Buenos Aires,General Arenales,"06294","1460",ARBA - Gerencia de Servicios Catastrales,IGN,"16350"
"430","366",Bermejo,Chaco,Bermejo,"22014","1461",IDE Chaco,IGN,"28144"
"431","367",Calamuchita,Córdoba,Calamuchita,"14007","1462",IDE Cordoba,IGN,"75911"
"432","454",Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Tolhuin,"94011","1463",Gerencia de Catastro Pcial.,IGN,"6039"
"433","455",Capital,Misiones,Capital,"54028","1464",Ministerio de Ecologí­a,IGN,"392919"
"434","456",Candelaria,Misiones,Candelaria,"54021","1465",Ministerio de Ecologí­a,IGN,"35318"
"489","445",Mburucuyá,Corrientes,Mburucuyá,"18098","1520",IGN,IGN,"11568"
"435","368",Rivadavia,Buenos Aires,Rivadavia,"06679","1466",ARBA - Gerencia de Servicios Catastrales,IGN,"19849"
"436","369",Patagones,Buenos Aires,Patagones,"06602","1467",ARBA - Gerencia de Servicios Catastrales,IGN,"37646"
"437","457",Cainguás,Misiones,Cainguás,"54014","1468",Ministerio de Ecologí­a,IGN,"59953"
"438","372",Comuna 9,Ciudad Autónoma de Buenos Aires,Comuna 9,"02063","1469",Direc. de Catastro,IGN,"169063"
"439","374",Mitre,Santiago del Estero,Mitre,"86112","1470",Catastro Provinciales,IGN,"1440"
"440","375",Atamisqui,Santiago del Estero,Atamisqui,"86021","1471",Catastro Provinciales,IGN,"14903"
"441","458",Libertador General San Martín,Misiones,Libertador General San Martín,"54077","1472",Ministerio de Ecologí­a,IGN,"52428"
"442","459",General Manuel Belgrano,Misiones,General Manuel Belgrano,"54049","1473",Ministerio de Ecologí­a,IGN,"45570"
"443","460",Guaraní,Misiones,Guaraní,"54056","1474",Ministerio de Ecologí­a,IGN,"77160"
"444","376",Jiménez,Santiago del Estero,Jiménez,"86091","1475",Catastro Provinciales,IGN,"18625"
"445","377",Coronel de Marina Leonardo Rosales,Buenos Aires,Coronel de Marina Leonardo Rosales,"06182","1476",ARBA - Gerencia de Servicios Catastrales,IGN,"67503"
"446","378",Baradero,Buenos Aires,Baradero,"06070","1477",ARBA - Gerencia de Servicios Catastrales,IGN,"40002"
"447","379",San Pedro,Buenos Aires,San Pedro,"06770","1478",ARBA - Gerencia de Servicios Catastrales,IGN,"68613"
"448","380",Santa Victoria,Salta,Santa Victoria,"66161","1479",IDE Salta,IGN,"9413"
"449","381",General José de San Martín,Salta,General José de San Martín,"66056","1480",IDE Salta,IGN,"178004"
"450","382",Rivadavia,Salta,Rivadavia,"66133","1481",IDE Salta,IGN,"38113"
"451","383",Rosario de Lerma,Salta,Rosario de Lerma,"66147","1482",IDE Salta,IGN,"51028"
"452","384",Ledesma,Jujuy,Ledesma,"38035","1483",Direc. Grl. de Inmuebles,IGN,"94252"
"453","385",Humahuaca,Jujuy,Humahuaca,"38028","1484",Direc. Grl. de Inmuebles,IGN,"20914"
"493","471",San Fernando,Chaco,San Fernando,"22140","1524",IDE Chaco,IGN,"416140"
"454","393",Florentino Ameghino,Buenos Aires,Florentino Ameghino,"06277","1485",ARBA - Gerencia de Servicios Catastrales,IGN,"10790"
"455","394",Florentino Ameghino,Chubut,Florentino Ameghino,"26028","1486",IGN,IGN,"1786"
"456","395",La Cocha,Tucumán,La Cocha,"90049","1487",IDE Tucuman,IGN,"21218"
"457","396",Graneros,Tucumán,Graneros,"90035","1488",IDE Tucuman,IGN,"15540"
"458","397",Juan Bautista Alberdi,Tucumán,Juan Bautista Alberdi,"90042","1489",IDE Tucuman,IGN,"34766"
"459","398",Río Chico,Tucumán,Río Chico,"90077","1490",IDE Tucuman,IGN,"64962"
"460","399",Simoca,Tucumán,Simoca,"90091","1491",IDE Tucuman,IGN,"36973"
"461","400",Chicligasta,Tucumán,Chicligasta,"90021","1492",IDE Tucuman,IGN,"92608"
"494","481",General Donovan,Chaco,General Donovan,"22056","1525",IDE Chaco,IGN,"15096"
"495","473",2 de Abril,Chaco,2 de Abril,"22039","1526",IDE Chaco,IGN,"8319"
"496","474",Lanús,Buenos Aires,Lanús,"06434","1527",ARBA - Gerencia de Servicios Catastrales,IGN,"461267"
"462","420",San Martín,Santa Fe,San Martín,"82126","1493",Servicio de Catastro e Información Territorial,IGN,"67827"
"463","421",La Capital,Santa Fe,La Capital,"82063","1494",Servicio de Catastro e Información Territorial,IGN,"572265"
"464","461",Iguazú,Misiones,Iguazú,"54063","1495",Ministerio de Ecologí­a,IGN,"100096"
"465","462",25 de Mayo,Misiones,25 de Mayo,"54119","1496",Ministerio de Ecologí­a,IGN,"30891"
"466","463",Oberá,Misiones,Oberá,"54091","1497",Ministerio de Ecologí­a,IGN,"121701"
"467","464",San Ignacio,Misiones,San Ignacio,"54098","1498",Ministerio de Ecologí­a,IGN,"63394"
"468","422",Castellanos,Santa Fe,Castellanos,"82021","1499",Servicio de Catastro e Información Territorial,IGN,"190577"
"469","423",Garay,Santa Fe,Garay,"82035","1500",Servicio de Catastro e Información Territorial,IGN,"24927"
"490","467",Concepción,Misiones,Concepción,"54035","1521",Ministerio de Ecologí­a,IGN,"10348"
"491","468",Apóstoles,Misiones,Apóstoles,"54007","1522",Ministerio de Ecologí­a,IGN,"50597"
"492","469",1° de Mayo,Chaco,1° de Mayo,"22126","1523",IDE Chaco,IGN,"14279"
"497","475",Lomas de Zamora,Buenos Aires,Lomas de Zamora,"06490","1528",ARBA - Gerencia de Servicios Catastrales,IGN,"690323"
"500","478",Libertad,Chaco,Libertad,"22077","1531",IDE Chaco,IGN,"13807"
"501","479",Comandante Fernández,Chaco,Comandante Fernández,"22021","1532",IDE Chaco,IGN,"101960"
"498","476",Avellaneda,Buenos Aires,Avellaneda,"06035","1529",ARBA - Gerencia de Servicios Catastrales,IGN,"367554"
"499","477",25 de Mayo,Chaco,25 de Mayo,"22168","1530",IDE Chaco,IGN,"32793"
"503","487",Rivadavia,San Juan,Rivadavia,"70084","1534",Direc. de Catastro,IGN,"101666"
"504","485",Comuna 15,Ciudad Autónoma de Buenos Aires,Comuna 15,"02105","1535",Direc. de Catastro,IGN,"196876"
"505","498",Caucete,San Juan,Caucete,"70035","1536",Direc. de Catastro,IGN,"44047"
"506","499",25 de Mayo,San Juan,25 de Mayo,"70126","1537",Direc. de Catastro,IGN,"20824"
"507","500",Sarmiento,San Juan,Sarmiento,"70105","1538",Direc. de Catastro,IGN,"27188"
"508","501",Calingasta,San Juan,Calingasta,"70021","1539",Direc. de Catastro,IGN,"11034"
"509","502",Iglesia,San Juan,Iglesia,"70049","1540",Direc. de Catastro,IGN,"8845"
"510","503",Jáchal,San Juan,Jáchal,"70056","1541",Direc. de Catastro,IGN,"25297"
"511","504",Valle Fértil,San Juan,Valle Fértil,"70119","1542",Direc. de Catastro,IGN,"8526"
"513","489",Rawson,San Juan,Rawson,"70077","1544",Direc. de Catastro,IGN,"136617"
"516","495",Albardón,San Juan,Albardón,"70007","1547",Direc. de Catastro,IGN,"31284"
"517","496",Angaco,San Juan,Angaco,"70014","1548",Direc. de Catastro,IGN,"10176"
"518","490",Pocito,San Juan,Pocito,"70070","1549",Direc. de Catastro,IGN,"72915"
"519","491",Zonda,San Juan,Zonda,"70133","1550",Direc. de Catastro,IGN,"6683"
"520","492",Ullum,San Juan,Ullum,"70112","1551",Direc. de Catastro,IGN,"6454"
"521","507",Santa Bárbara,Jujuy,Santa Bárbara,"38070","1552",Direc. Grl. de Inmuebles,IGN,"20499"
"522","508",Curuzú Cuatiá,Corrientes,Curuzú Cuatiá,"18035","1553",IGN,IGN,"51532"
"523","509",Pocho,Córdoba,Pocho,"14077","1554",IDE Cordoba,IGN,"5123"
"524","510",Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,"94015","1555",Gerencia de Catastro Pcial.,IGN,"80371"
"525","511",Islas del Atlántico Sur,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Islas del Atlántico Sur,"94021","1556",IGN,IGN,"0"
"526","512",San Fernando,Buenos Aires,San Fernando,"06749","1557",ARBA - Gerencia de Servicios Catastrales,IGN,"171616"
"527","497",San Martín,San Juan,San Martín,"70091","1558",Direc. de Catastro,IGN,"15037"
"528","505",La Plata,Buenos Aires,La Plata,"06441","1559",ARBA - Gerencia de Servicios Catastrales,IGN,"768470"
"529","506",Mercedes,Corrientes,Mercedes,"18105","1560",IGN,IGN,"49882"
