fid,gid,nam,provincia,name_es,in1,id,fdc,sag,value
"131","111",General Alvear,Mendoza,General Alvear,"50014","1162",IDE Mendoza,IGN,"52584"
"135","115",Picún Leufú,Neuquén,Picún Leufú,"58098","1166",Direc. Pcial. de Catastro e Inf. Territorial,IGN,"5087"
"136","116",Zapala,Neuquén,Zapala,"58112","1167",Direc. Pcial. de Catastro e Inf. Territorial,IGN,"45698"
"141","106",Puán,Buenos Aires,Puán,"06651","1172",ARBA - Gerencia de Servicios Catastrales,IGN,"16613"
"142","108",Presidente Roque Sáenz Peña,Córdoba,Presidente Roque Sáenz Peña,"14084","1173",IDE Cordoba,IGN,"37726"
"144","119",Comuna 1,Ciudad Autónoma de Buenos Aires,Comuna 1,"02007","1175",Direc. de Catastro,IGN,"223554"
"154","172",Chapaleufú,La Pampa,Chapaleufú,"42056","1185",Direc. Grl. de Catastro,IGN,"12334"
"199","193",Chos Malal,Neuquén,Chos Malal,"58042","1230",Direc. Pcial. de Catastro e Inf. Territorial,IGN,"18368"
"200","194",Cushamen,Chubut,Cushamen,"26014","1231",IGN,IGN,"28209"
"201","195",Lago Buenos Aires,Santa Cruz,Lago Buenos Aires,"78035","1232",IGN,IGN,"12606"
"202","212",Capital,Córdoba,Capital,"14014","1233",IDE Cordoba,IGN,"1505250"
"203","213",San Carlos,Mendoza,San Carlos,"50091","1234",IDE Mendoza,IGN,"39869"
"204","222",Malargüe,Mendoza,Malargüe,"50077","1235",IDE Mendoza,IGN,"32717"
"205","228",Catán Lil,Neuquén,Catán Lil,"58021","1236",Direc. Pcial. de Catastro e Inf. Territorial,IGN,"2676"
"376","526",Paclín,Catamarca,Paclín,"10077","1407",IDE Catamarca,IGN,"4725"
"377","527",El Alto,Catamarca,El Alto,"10056","1408",IDE Catamarca,IGN,"4375"
"145","120",Comuna 4,Ciudad Autónoma de Buenos Aires,Comuna 4,"02028","1176",Direc. de Catastro,IGN,"229240"
"146","224",Adolfo Alsina,Rí­o Negro,Adolfo Alsina,"62007","1177",IDE Rio Negro,IGN,"64482"
"147","121",Comuna 5,Ciudad Autónoma de Buenos Aires,Comuna 5,"02035","1178",Direc. de Catastro,IGN,"194271"
"148","125",Comuna 12,Ciudad Autónoma de Buenos Aires,Comuna 12,"02084","1179",Direc. de Catastro,IGN,"236887"
"155","123",Comuna 10,Ciudad Autónoma de Buenos Aires,Comuna 10,"02070","1186",Direc. de Catastro,IGN,"173004"
"156","160",Sargento Cabral,Chaco,Sargento Cabral,"22154","1187",IDE Chaco,IGN,"18793"
"157","124",Comuna 11,Ciudad Autónoma de Buenos Aires,Comuna 11,"02077","1188",Direc. de Catastro,IGN,"204601"
"158","140",Loventué,La Pampa,Loventué,"42098","1189",Direc. Grl. de Catastro,IGN,"9322"
"176","148",Chical Co,La Pampa,Chical Co,"42063","1207",Direc. Grl. de Catastro,IGN,"1466"
"177","149",Quebrachos,Santiago del Estero,Quebrachos,"86140","1208",Catastro Provinciales,IGN,"12354"
"178","157",Quitilipi,Chaco,Quitilipi,"22133","1209",IDE Chaco,IGN,"32642"
"179","158",Presidencia de la Plaza,Chaco,Presidencia de la Plaza,"22119","1210",IDE Chaco,IGN,"13956"
"180","159",Pergamino,Buenos Aires,Pergamino,"06623","1211",ARBA - Gerencia de Servicios Catastrales,IGN,"115340"
"181","185",Lácar,Neuquén,Lácar,"58056","1212",Direc. Pcial. de Catastro e Inf. Territorial,IGN,"39596"
"182","186",Confluencia,Neuquén,Confluencia,"58035","1213",Direc. Pcial. de Catastro e Inf. Territorial,IGN,"468794"
"183","187",Picunches,Neuquén,Picunches,"58105","1214",Direc. Pcial. de Catastro e Inf. Territorial,IGN,"8495"
"378","528",Tinogasta,Catamarca,Tinogasta,"10105","1409",IDE Catamarca,IGN,"25395"
"159","135",Matacos,Formosa,Matacos,"34028","1190",IGN,IGN,"17032"
"160","136",Los Andes,Salta,Los Andes,"66105","1191",IDE Salta,IGN,"7182"
"161","137",Orán,Salta,Orán,"66126","1192",IDE Salta,IGN,"160642"
"162","138",Tilcara,Jujuy,Tilcara,"38094","1193",Direc. Grl. de Inmuebles,IGN,"14721"
"163","139",Palpalá,Jujuy,Palpalá,"38042","1194",Direc. Grl. de Inmuebles,IGN,"65541"
"164","142",Caleu Caleu,La Pampa,Caleu Caleu,"42014","1195",Direc. Grl. de Catastro,IGN,"2611"
"165","156",Tapenagá,Chaco,Tapenagá,"22161","1196",IDE Chaco,IGN,"4059"
"184","173",Realicó,La Pampa,Realicó,"42133","1215",Direc. Grl. de Catastro,IGN,"17470"
"185","210",Maipú,Chaco,Maipú,"22091","1216",IDE Chaco,IGN,"26416"
"186","162",Mayor Luis J. Fontana,Chaco,Mayor Luis J. Fontana,"22098","1217",IDE Chaco,IGN,"59965"
"187","163",Fray Justo Santa María de Oro,Chaco,Fray Justo Santa María de Oro,"22043","1218",IDE Chaco,IGN,"10653"
"166","126",San Martín,Santiago del Estero,San Martín,"86175","1197",Catastro Provinciales,IGN,"11848"
"167","127",Yavi,Jujuy,Yavi,"38112","1198",Direc. Grl. de Inmuebles,IGN,"25868"
"168","128",Santa Catalina,Jujuy,Santa Catalina,"38077","1199",Direc. Grl. de Inmuebles,IGN,"2646"
"169","129",San Pedro,Jujuy,San Pedro,"38063","1200",Direc. Grl. de Inmuebles,IGN,"88241"
"170","130",Valle Grande,Jujuy,Valle Grande,"38105","1201",Direc. Grl. de Inmuebles,IGN,"2509"
"171","131",Patiño,Formosa,Patiño,"34035","1202",IGN,IGN,"81819"
"172","132",Bermejo,Formosa,Bermejo,"34007","1203",IGN,IGN,"15644"
"173","145",Limay Mahuida,La Pampa,Limay Mahuida,"42091","1204",Direc. Grl. de Catastro,IGN,"423"
"174","146",Puelén,La Pampa,Puelén,"42112","1205",Direc. Grl. de Catastro,IGN,"11654"
"175","147",Chalileo,La Pampa,Chalileo,"42049","1206",Direc. Grl. de Catastro,IGN,"2885"
"206","177",Río Hondo,Santiago del Estero,Río Hondo,"86147","1237",Catastro Provinciales,IGN,"66761"
"207","178",Vinchina,La Rioja,Vinchina,"46098","1238",IGN,IGN,"2699"
"208","179",Capital,La Rioja,Capital,"46014","1239",IGN,IGN,"211651"
"209","180",Río Seco,Córdoba,Río Seco,"14112","1240",IDE Cordoba,IGN,"15302"
"210","181",Avellaneda,Rí­o Negro,Avellaneda,"62014","1241",IDE Rio Negro,IGN,"41352"
"211","182",General Roca,Rí­o Negro,General Roca,"62042","1242",IDE Rio Negro,IGN,"380525"
"225","211",Guasayán,Santiago del Estero,Guasayán,"86084","1256",Catastro Provinciales,IGN,"9255"
"212","196",Comuna 2,Ciudad Autónoma de Buenos Aires,Comuna 2,"02014","1243",Direc. de Catastro,IGN,"161645"
"213","201",Güer Aike,Santa Cruz,Güer Aike,"78021","1244",IGN,IGN,"137895"
"214","214",Tunuyán,Mendoza,Tunuyán,"50119","1245",IDE Mendoza,IGN,"60171"
"215","215",Luján de Cuyo,Mendoza,Luján de Cuyo,"50063","1246",IDE Mendoza,IGN,"175056"
"216","216",Futaleufú,Chubut,Futaleufú,"26035","1247",IGN,IGN,"50316"
"217","217",Río Chico,Santa Cruz,Río Chico,"78049","1248",IGN,IGN,"6314"
"218","197",Comuna 8,Ciudad Autónoma de Buenos Aires,Comuna 8,"02056","1249",Direc. de Catastro,IGN,"204367"
"219","206",Deseado,Santa Cruz,Deseado,"78014","1250",IGN,IGN,"126743"
"220","207",Languiñeo,Chubut,Languiñeo,"26056","1251",IGN,IGN,"2884"
"221","208",Belgrano,Santiago del Estero,Belgrano,"86042","1252",Catastro Provinciales,IGN,"10813"
"222","209",Aguirre,Santiago del Estero,Aguirre,"86007","1253",Catastro Provinciales,IGN,"8970"
"223","309",Guaminí,Buenos Aires,Guaminí,"06399","1254",ARBA - Gerencia de Servicios Catastrales,IGN,"11801"
"224","386",Cochinoca,Jujuy,Cochinoca,"38007","1255",Direc. Grl. de Inmuebles,IGN,"15054"
"238","230",Rosario de la Frontera,Salta,Rosario de la Frontera,"66140","1269",IDE Salta,IGN,"33809"
"239","231",Collón Curá,Neuquén,Collón Curá,"58028","1270",Direc. Pcial. de Catastro e Inf. Territorial,IGN,"4835"
"240","516",La Paz,Catamarca,La Paz,"10070","1271",IDE Catamarca,IGN,"26370"
"241","405",Cruz Alta,Tucumán,Cruz Alta,"90014","1272",IDE Tucuman,IGN,"228077"
"242","401",Monteros,Tucumán,Monteros,"90070","1273",IDE Tucuman,IGN,"77551"
